month,year,month_num,hours_provided,hours_not_provided,hours_in_month,service_fee,penalties,aFRR_total,balancing_total,IDM_total,trading_total,imbalance_total,grand_total,avg_rate,service_fee_eur,penalties_eur,aFRR_total_eur,balancing_total_eur,IDM_total_eur,trading_total_eur,imbalance_total_eur,grand_total_eur,service_fee_eur_per_mw,penalties_eur_per_mw,aFRR_total_eur_per_mw,balancing_total_eur_per_mw,IDM_total_eur_per_mw,trading_total_eur_per_mw,imbalance_total_eur_per_mw,grand_total_eur_per_mw
2023-01-01,2023,1,723,21,744,21690000,-1260000,20430000,25531848.915136196,-22096088.62258155,4547036.55,139218.919704308,28552015.762258954,39.33978387096774,551350.2583324293,-32028.6457122573,519321.612620172,649008.3676839509,-561672.852475638,115583.66881002756,3538.8836949622846,725779.6803334748,7351.336777765725,-427.048609496764,6924.2881682689595,8653.444902452678,-7488.971366341841,1541.1155841337008,47.18511593283046,9677.062404446331
2023-02-01,2023,2,639,33,672,19170000,-1980000,17190000,2273421.7337350906,9545122.786768457,4114003.599999996,8802.015580765588,33131350.13608431,39.26162142857143,488263.07479114004,-50430.92791269991,437832.14687844017,57904.428065232125,243115.85817039866,104784.35302231704,224.18879456568226,843860.9749309537,6510.174330548534,-672.4123721693321,5837.761958379202,772.0590408697617,3241.5447756053154,1397.1247069642272,2.98918392754243,11251.47966574605
2023-03-01,2023,3,689,55,744,20670000,-3300000,17370000,2216774.9427592265,28883707.528662696,4586021.999999999,0,53056504.47142193,39.07219677419355,529020.6772722886,-84459.03410733199,444561.6431649566,56735.35469660013,739239.405851371,117373.02682271964,0,1357909.4305356476,7053.609030297182,-1126.1204547644265,5927.488575532755,756.4713959546684,9856.525411351613,1564.973690969595,0,18105.459073808634
2023-04-01,2023,4,688,32,720,20640000,-1920000,18720000,-272425.6226427727,14990734.348917864,4634947.099999999,0,38073255.82627509,40.06571666666667,515153.6454899305,-47921.26934790051,467232.37614203,-6799.469604132195,374153.65544651926,115683.61895435954,0,950270.1809387766,6868.715273199074,-638.9502579720069,6229.765015227066,-90.6595947217626,4988.715405953591,1542.4482527247937,0,12670.269079183689
2023-05-01,2023,5,715,29,744,21450000,-1740000,19710000,6046567.276257149,3057317.539759254,4432437.8,16684.466274942242,33263007.08229135,39.80833870967742,538831.8300955748,-43709.435168592085,495122.39492698276,151891.97721499557,76800.9326401762,111344.45555052697,419.1198833144535,835578.8802159961,7184.424401274331,-582.7924689145611,6601.63193235977,2025.2263628666076,1024.0124352023493,1484.5927406736928,5.58826511085938,11141.051736213281
2023-06-01,2023,6,685,35,720,20550000,-2100000,18450000,3872637.1746850125,1934467.5783329883,4278147.300000001,0,28535252.053018,39.58796,519097.22046804125,-53046.431288704945,466050.78917933634,97823.61037762523,48865.048321080154,108066.87942495648,0,720806.3273029982,6921.296272907217,-707.285750516066,6214.010522391151,1304.314805035003,651.533977614402,1440.8917256660864,0,9610.751030706642
2023-07-01,2023,7,705,39,744,21150000,-2340000,18810000,5521444.731896962,2778587.107982459,11176666.55,0,38286698.38987942,40.432954838709676,523088.16123800643,-57873.58379654539,465214.57744146104,136558.03178180894,68720.85206402716,276424.6786955004,0,946918.1399827976,6974.508816506753,-771.6477839539385,6202.861032552813,1820.773757090786,916.2780275203621,3685.662382606672,0,12625.575199770634
2023-08-01,2023,8,715,29,744,21450000,-1740000,19710000,36673676.04336464,-33005153.693988543,11113574.850000001,0,34492097.19937609,39.922532258064514,537290.5671750573,-43584.40964496967,493706.1575300875,918620.9884258133,-826729.9649390694,278378.50510484626,0,863975.6861216775,7163.874229000763,-581.1254619329289,6582.748767067834,12248.27984567751,-11023.066199187591,3711.7134013979503,0,11519.6758149557
2023-09-01,2023,9,687,33,720,20610000,-1980000,18630000,5659576.721216209,6467126.975968296,12091206.75,0,42847910.4471845,39.13102666666667,526692.0332953186,-50599.23463972493,476092.7986555936,144631.4396355273,165268.5228797548,308992.83203064435,0,1094985.59320152,7022.560443937581,-674.656461862999,6347.903982074581,1928.4191951403639,2203.580305063397,4119.904427075258,0,14599.8079093536
2023-10-01,2023,10,710,34,744,21300000,-2040000,19260000,10908431.237535555,2442380.4223698853,12127242.750000002,11673.551146917804,44749727.96105236,38.56466774193549,552319.0331246711,-52898.16091898258,499420.8722056885,282860.760282751,63332.074807791585,314465.11690836516,302.7006799341332,1160381.5248845303,7364.253774995615,-705.3088122531011,6658.944962742514,3771.4768037700132,844.4276641038878,4192.868225444869,4.036009065788442,15471.753665127071
