date,hour,trading_MW,net_aFRR,restore_MW,imbalance_MWh,SOC_start_MWh,SOC_end_MWh,SOC_percent,P_dam,P_idm,P_bm_up,P_bm_down,P_imb_up,P_imb_down,is_feasible,trading_revenue,balancing_revenue,restoration_revenue,imbalance_revenue
2023-01-01,0,0,-8.389607532137308,0,0,75,66.22850802159905,44.152338681066034,1995,2000,1995,0.01,0.01,2094.75,1,-0,16737.26702661393,-0,0
2023-01-01,1,0,21.668220851828362,-35,0,66.22850802159905,49.02173562859558,32.68115708573038,1990,2000,1990,0.01,0.01,2089.5,1,-0,-0.21668220851828363,70000,0
2023-01-01,2,0,28.782340207237635,-23.804483870986246,0,49.02173562859558,49.885030936611685,33.256687291074456,1757,1792.14,1757,0.01,0.01,1844.85,1,-0,-0.28782340207237633,42660.96772454929,0
2023-01-01,3,35,37.84448059986933,-70,0,49.885030936611685,41.872092486734985,27.91472832448999,1378.97,1406.55,1378.97,0.01,0.01,1447.92,1,-48263.950000000004,-0.3784448059986933,98458.5,0
2023-01-01,4,35,39.354552921691614,-70,0,41.872092486734985,35.210203662614106,23.473469108409404,1378.97,1406.55,1378.97,0.01,0.01,1447.92,1,-48263.950000000004,-0.39354552921691616,98458.5,0
2023-01-01,5,0,38.302978761698355,0,0,35.210203662614106,69.47957233687553,46.31971489125036,1378.97,1406.55,1378.97,0.01,0.01,1447.92,1,-0,-0.3830297876169836,-0,0
2023-01-01,6,0,36.29163746420573,-0.8529036334655662,0,69.47957233687553,101.05768330243095,67.3717888682873,1757,1792.14,1757,0.01,0.01,1844.85,1,-0,-0.3629163746420573,1528.52271767898,0
2023-01-01,7,0,37.93743176151016,0,0,101.05768330243095,135,90,2646.25,2699.18,2646.25,0.01,0.01,2778.56,1,-0,-0.37937431761510165,-0,0
2023-01-01,8,0,-10.265906812790767,0,0,135,124.2668019434199,82.8445346289466,2646.25,2699.18,2646.25,0.01,0.01,2778.56,1,-0,27166.155903347568,-0,0
2023-01-01,9,0,-17.90004351611453,0,0,124.2668019434199,105.5519708248983,70.3679805499322,2646.25,2699.18,2646.25,0.01,0.01,2778.56,1,-0,47367.99015451807,-0,0
2023-01-01,10,0,-20.52977040280583,0,0,105.5519708248983,84.08771093946015,56.058473959640104,2646.25,2699.18,2646.25,0.01,0.01,2778.56,1,-0,54326.90492842493,-0,0
2023-01-01,11,0,-22.72194150237399,-35,0,84.08771093946015,23.73833882326329,15.825559215508862,2646.25,2699.18,2646.25,0.01,0.01,2778.56,1,-0,60127.937700657174,94471.29999999999,0
2023-01-01,12,0,1.5889583399015308,0,0,23.73833882326329,25.15996713830647,16.773311425537646,2646.25,2699.18,2646.25,0.01,0.01,2778.56,1,-0,-0.01588958339901531,-0,0
2023-01-01,13,0,36.677335816994066,-24.06457764900602,0,25.15996713830647,32.81491893677806,21.876612624518707,2646.25,2699.18,2646.25,0.01,0.01,2778.56,1,-0,-0.36677335816994067,64954.62669864406,0
2023-01-01,14,0,15.433425406793999,-30.246307095463447,0,32.81491893677806,15,10,3453,3522.06,3453,0.01,0.01,3625.65,1,-0,-0.15433425406794,106529.30836864798,0
2023-01-01,15,0,23.934795314815013,0,0,15,36.41426988980247,24.27617992653498,3980,4000,3980,0.01,0.01,4179,1,-0,-0.23934795314815013,-0,0
