month,year,month_num,hours_provided,hours_not_provided,hours_in_month,service_fee,penalties,aFRR_total,balancing_total,IDM_total,trading_total,imbalance_total,grand_total,avg_rate,service_fee_eur,penalties_eur,aFRR_total_eur,balancing_total_eur,IDM_total_eur,trading_total_eur,imbalance_total_eur,grand_total_eur,service_fee_eur_per_mw,penalties_eur_per_mw,aFRR_total_eur_per_mw,balancing_total_eur_per_mw,IDM_total_eur_per_mw,trading_total_eur_per_mw,imbalance_total_eur_per_mw,grand_total_eur_per_mw
2023-01-01,2023,1,595,149,744,17850000,-8940000,8910000,25531848.915136196,-16323983.132347051,130677.75,-3242547.4151332206,15005996.117655924,39.33978387096774,453739.14759031177,-227250.8671964923,226488.2803938195,649008.3676839509,-414948.470126038,3321.7709184324854,-82424.1288607124,381445.82000945247,6049.855301204157,-3030.011562619897,3019.84373858426,8653.444902452678,-5532.646268347174,44.29027891243314,-1098.9883848094987,5085.9442667927
2023-02-01,2023,2,606,66,672,18180000,-3960000,14220000,2273421.73373509,9762808.544298967,369944.75,1979255.6512115726,28605430.67924563,39.26162142857143,463047.6108347901,-100861.85582539982,362185.7550093903,57904.42806523212,248660.35046617777,9422.55404996555,50411.96922578522,728585.0568165509,6173.968144463868,-1344.8247443386642,4829.143400125204,772.0590408697616,3315.471339549037,125.63405399954068,672.1595896771363,9714.467424220678
2023-03-01,2023,3,599,145,744,17970000,-8700000,9270000,2216774.9427592265,26246498.05960224,744408,6075997.102765092,44553678.10512655,39.07219677419355,459917.8311844715,-222664.72628296615,237253.1049015053,56735.35469660013,671743.5984284752,19052.115352051755,155506.923193481,1140291.0965721132,6132.237749126287,-2968.8630171062155,3163.374732020071,756.4713959546684,8956.581312379669,254.0282046940234,2073.4256425797466,15203.881287628175
2023-04-01,2023,4,641,79,720,19230000,-4740000,14490000,-272425.62264277256,14037103.01059385,1692696.2499999998,3365692.3276137062,33313065.965564784,40.06571666666667,479961.46331256605,-118305.63370262939,361655.8296099367,-6799.469604132192,350351.9761640068,42247.99631272455,84004.29613215553,831460.6286146913,6399.48617750088,-1577.408449368392,4822.077728132489,-90.65959472176256,4671.359682186758,563.306617502994,1120.057281762074,11086.141714862551
2023-05-01,2023,5,695,49,744,20850000,-2940000,17910000,6046567.276257151,2461948.8185154884,2859912.65,736172.926406784,30014601.67117942,39.80833870967742,523759.6110719224,-73853.87321589698,449905.73785602546,151891.97721499563,61845.05302947967,71842.04974885711,18492.932643477034,753977.7504928348,6983.461480958966,-984.7183095452931,5998.743171413673,2025.2263628666083,824.600707059729,957.8939966514282,246.57243524636044,10053.036673237797
2023-06-01,2023,6,668,52,720,20040000,-3120000,16920000,3872637.1746850125,1908560.4708609523,2586804.15,381896.23228202725,25669898.02782799,39.58796,506214.5157264986,-78811.8407717902,427402.67495470843,97823.61037762523,48210.62946564946,65343.20409538657,9646.777259601839,648426.8961529714,6749.526876353315,-1050.8245436238694,5698.7023327294455,1304.314805035003,642.8083928753261,871.242721271821,128.62369679469117,8645.691948706286
2023-07-01,2023,7,696,48,744,20880000,-2880000,18000000,5521444.731896962,-1224594.0643243631,10048523.8,-1110637.7862208285,31234736.68135177,40.432954838709676,516410.44003071275,-71229.02621113279,445181.41381957993,136558.03178180894,-30287.02871727698,248523.1128935388,-27468.627772846492,772506.9020048042,6885.472533742836,-949.7203494817705,5935.752184261066,1820.773757090786,-403.82704956369304,3313.6415052471843,-366.24837030461987,10300.092026730723
2023-08-01,2023,8,646,98,744,19380000,-5880000,13500000,36673676.043364644,-28483646.213239722,10955578.9,-12502232.514902137,20143376.215222783,39.922532258064514,485440.1488043174,-147285.24638644926,338154.90241786814,918620.9884258134,-713472.9337587524,274420.9417674634,-313162.3123023875,504561.58655000495,6472.535317390899,-1963.8032851526568,4508.732032238242,12248.279845677513,-9512.972450116698,3658.945890232845,-4175.497497365167,6727.487820666733
2023-09-01,2023,9,666,54,720,19980000,-3240000,16740000,5659576.721216209,-23435.258097693026,10708152,318999.53549882706,33403292.998617344,39.13102666666667,510592.27681904245,-82798.74759227716,427793.52922676527,144631.4396355273,-598.8919814786278,273648.6341443635,8152.087043771925,853626.7980689494,6807.897024253899,-1103.983301230362,5703.9137230235365,1928.4191951403639,-7.985226419715038,3648.64845525818,108.694493916959,11381.690640919325
2023-10-01,2023,10,672,72,744,20160000,-4320000,15840000,10908431.237535553,-2504942.45505962,10277219.05,-560339.1530048818,33960368.679471046,38.56466774193549,522758.29614053376,-112019.63488725723,410738.6612532765,282860.760282751,-64954.33778457602,266493.13093457517,-14529.858178852275,880608.3565071742,6970.110615207117,-1493.5951318300963,5476.51548337702,3771.4768037700132,-866.0578371276803,3553.2417457943357,-193.731442384697,11741.44475342899
