date,hour,net_aFRR,max_aFRR,min_aFRR,trading_MW,restore_MW,imbalance_MWh,is_feasible,SOC_start_MWh,SOC_end_MWh,SOC_percent,P_dam,P_idm,P_bm_up,P_bm_down,P_imb_up,P_imb_down,trading_revenue,balancing_revenue,restoration_revenue,imbalance_revenue
2023-01-01,0,-8.389607532137308,5.895857304476348,-11.34326120880394,0,0,0,1,75,66.22850802159905,44.152338681066034,1995,2000,1995,0.01,0.01,2094.75,-0,16737.26702661393,-0,0
2023-01-01,1,21.668220851828362,21.668220851828362,-0.024756032867634423,0,0,0,1,66.22850802159905,85.61489187196308,57.07659458130872,1990,2000,1990,0.01,0.01,2089.5,-0,-0.21668220851828363,-0,0
2023-01-01,2,28.782340207237635,28.782340207237635,0.2706310325780047,0,0,0,1,85.61489187196308,111.36622139665694,74.2441475977713,1757,1792.14,1757,0.01,0.01,1844.85,-0,-0.28782340207237633,-0,0
2023-01-01,3,37.84448059986933,37.84448059986933,0.6352618512541061,0,-5.68311069832847,0,1,111.36622139665694,139.28357664116416,92.8557177607761,1378.97,1406.55,1378.97,0.01,0.01,1447.92,-0,-0.3784448059986933,7993.579352733909,0
2023-01-01,4,39.354552921691614,39.354552921691614,0.6586679408260887,0,-19.64178832058208,4.423781966085342,0,139.28357664116416,150,100,1378.97,1406.55,1378.97,0.01,0.01,1447.92,-0,-0.39354552921691616,27627.157362314723,6405.282384334289
2023-01-01,5,38.302978761698355,38.302978761698355,0.6578760548452145,0,-25,9.088490708533122,0,150,150,100,1378.97,1406.55,1378.97,0.01,0.01,1447.92,-0,-0.3830297876169836,35163.75,13159.407466699278
2023-01-01,6,36.29163746420573,36.29163746420573,0.6455342424529145,0,-25,7.077149411040518,0,150,150,100,1757,1792.14,1757,0.01,0.01,1844.85,-0,-0.3629163746420573,44803.5,13056.2790909581
2023-01-01,7,37.93743176151016,37.93743176151016,0.6580281203862661,0,-25,8.722943708344946,0,150,150,100,2646.25,2699.18,2646.25,0.01,0.01,2778.56,-0,-0.37937431761510165,67479.5,24237.222470258934
2023-01-01,8,-10.265906812790767,6.643782643023587,-10.265906812790767,0,-25,0,1,150,113.12883319815741,75.41922213210493,2646.25,2699.18,2646.25,0.01,0.01,2778.56,-0,27166.155903347568,67479.5,0
2023-01-01,9,-17.90004351611453,-0.028334638057878465,-17.90004351611453,0,-6.5644165990787045,0,1,113.12883319815741,87.55078144373175,58.36718762915451,2646.25,2699.18,2646.25,0.01,0.01,2778.56,-0,47367.99015451807,17718.541995901258,0
2023-01-01,10,-20.52977040280583,0.5015977116717677,-20.52977040280583,0,0,0,1,87.55078144373175,66.0865215582936,44.0576810388624,2646.25,2699.18,2646.25,0.01,0.01,2778.56,-0,54326.90492842493,-0,0
2023-01-01,11,-22.72194150237399,-0.3672827891900697,-22.72194150237399,0,0,0,1,66.0865215582936,42.33030568546423,28.22020379030949,2646.25,2699.18,2646.25,0.01,0.01,2778.56,-0,60127.937700657174,-0,0
2023-01-01,12,1.5889583399015308,1.5889583399015308,-5.722502971790273,35,3.834847157267884,0,1,42.33030568546423,78.49716107333772,52.33144071555848,2646.25,2699.18,2646.25,0.01,0.01,2778.56,-92618.75,-0.01588958339901531,-10350.942749954327,0
2023-01-01,13,36.677335816994066,36.677335816994066,0.5960572160936976,35,0,0,1,78.49716107333772,142.62630001011578,95.08420000674386,2646.25,2699.18,2646.25,0.01,0.01,2778.56,-92618.75,-0.36677335816994067,-0,0
2023-01-01,14,15.433425406793999,15.433425406793999,0.5453922073493035,0,-21.313150005057892,0,1,142.62630001011578,134.15116430635933,89.4341095375729,3453,3522.06,3453,0.01,0.01,3625.65,-0,-0.15433425406794,75066.1931068142,0
2023-01-01,15,23.934795314815013,25.88927802427855,0.5924410586393276,0,-17.075582153179667,0,1,134.15116430635933,137.71259289108292,91.80839526072194,3980,4000,3980,0.01,0.01,4179,-0,-0.23934795314815013,68302.32861271867,0
2023-01-01,16,-18.698889197922874,-0.319544665444449,-18.698889197922874,0,-18.85629644554146,0,1,137.71259289108292,98.44794214822686,65.63196143215124,3980,4000,3980,0.01,0.01,4179,-0,74421.57900773303,75425.18578216583,0
2023-01-01,17,33.521813894644424,33.521813894644424,0.009571878060568398,0,0,0,1,98.44794214822686,128.43964086525406,85.6264272435027,3980,4000,3980,0.01,0.01,4179,-0,-0.33521813894644426,-0,0
2023-01-01,18,25.281357842811605,25.281357842811605,0.08542655130709716,0,-14.219820432627031,0,1,128.43964086525406,136.19158059510485,90.79438706340324,3980,4000,3980,0.01,0.01,4179,-0,-0.2528135784281161,56879.281730508126,0
2023-01-01,19,33.41035327585452,33.41035327585452,0.6250845158718179,-35,-18.095790297552426,0,1,136.19158059510485,110.5709120960882,73.71394139739213,3980,4000,3980,0.02,0.02,4179,139300,-0.6682070655170904,72383.1611902097,0
2023-01-01,20,38.69467579154787,38.69467579154787,0.6526726770960098,-35,-5.285456048044097,0,1,110.5709120960882,103.07152932648282,68.71435288432188,3980,4000,3980,0.02,0.02,4179,139300,-0.7738935158309574,21141.824192176387,0
2023-01-01,21,35.65924123320885,35.65924123320885,0.5720490637715943,0,-1.5357646632414088,0,1,103.07152932648282,133.3698964331896,88.91326428879307,3909,3987.18,3909,0.02,0.02,4104.45,-0,-0.7131848246641771,6123.37014998288,0
2023-01-01,22,4.0011217719310705,4.111245206233657,-6.396843393925487,0,-16.684948216594805,0,1,133.3698964331896,119.50524187349504,79.67016124899669,3909,3987.18,3909,0.01,0.01,4104.45,-0,-0.0400112177193107,66525.89183024247,0
2023-01-01,23,31.37593998501695,31.37593998501695,0.1666219545361843,0,-9.752620936747519,0,1,119.50524187349504,137.38049632140587,91.58699754760391,1949,1987.98,1949,0.01,0.01,2046.45,-0,-0.3137593998501695,19388.01536983533,0
